id_evento,id_progreso_modulo,tipo_evento,fecha_evento,detalle
1,3218,iniciado,2026-09-15,
2,557,iniciado,2026-09-15,
3,132,iniciado,2026-09-15,
4,3749,iniciado,2026-09-15,
5,1379,iniciado,2026-09-15,
6,1232,iniciado,2026-09-15,
7,1124,iniciado,2026-09-15,
8,701,iniciado,2026-09-15,
9,3725,iniciado,2026-09-15,
10,509,iniciado,2026-09-15,
11,3410,iniciado,2026-09-15,
12,3745,iniciado,2026-09-15,
13,2752,iniciado,2026-09-15,
14,443,iniciado,2026-09-15,
15,2965,iniciado,2026-09-15,
16,2115,iniciado,2026-09-15,
17,161,iniciado,2026-09-15,
18,152,iniciado,2026-09-15,
19,469,iniciado,2026-09-15,
20,1102,iniciado,2026-09-15,
21,1175,iniciado,2026-09-15,
22,2555,iniciado,2026-09-15,
23,3027,iniciado,2026-09-15,
24,140,iniciado,2026-09-15,
25,2823,iniciado,2026-09-15,
26,1005,iniciado,2026-09-15,
27,3621,iniciado,2026-09-15,
28,3276,iniciado,2026-09-15,
29,3550,iniciado,2026-09-15,
30,2752,en_progreso,2026-09-15,
31,1398,iniciado,2026-09-15,
32,32,iniciado,2026-09-15,
33,3837,iniciado,2026-09-15,
34,4081,iniciado,2026-09-15,
35,805,iniciado,2026-09-15,
36,3527,iniciado,2026-09-15,
37,2115,en_progreso,2026-09-15,
38,3859,iniciado,2026-09-15,
39,1696,iniciado,2026-09-15,
40,509,en_progreso,2026-09-15,
41,1731,iniciado,2026-09-15,
42,3038,iniciado,2026-09-15,
43,1327,iniciado,2026-09-15,
44,4087,iniciado,2026-09-15,
45,224,iniciado,2026-09-15,
46,3692,iniciado,2026-09-15,
47,2318,iniciado,2026-09-15,
48,2710,iniciado,2026-09-15,
49,623,iniciado,2026-09-15,
50,1900,iniciado,2026-09-15,
51,399,iniciado,2026-09-15,
52,2783,iniciado,2026-09-15,
53,1481,iniciado,2026-09-15,
54,3167,iniciado,2026-09-15,
55,3115,iniciado,2026-09-15,
56,1818,iniciado,2026-09-15,
57,2901,iniciado,2026-09-15,
58,967,iniciado,2026-09-15,
59,3568,iniciado,2026-09-15,
60,357,iniciado,2026-09-15,
61,234,iniciado,2026-09-15,
62,3332,iniciado,2026-09-15,
63,1151,iniciado,2026-09-15,
64,3908,iniciado,2026-09-15,
65,1462,iniciado,2026-09-15,
66,405,iniciado,2026-09-15,
67,1175,completado,2026-09-15,Modulo finalizado por el estudiante
68,1908,iniciado,2026-09-15,
69,1398,en_progreso,2026-09-15,
70,821,iniciado,2026-09-15,
71,1862,iniciado,2026-09-15,
72,1784,iniciado,2026-09-15,
73,1058,iniciado,2026-09-15,
74,3382,iniciado,2026-09-15,
75,1341,iniciado,2026-09-15,
76,3550,completado,2026-09-15,Modulo finalizado por el estudiante
77,3266,iniciado,2026-09-15,
78,365,iniciado,2026-09-15,
79,3066,iniciado,2026-09-15,
80,3200,iniciado,2026-09-15,
81,863,iniciado,2026-09-15,
82,2694,iniciado,2026-09-15,
83,3686,iniciado,2026-09-15,
84,1232,en_progreso,2026-09-15,
85,3222,iniciado,2026-09-15,
86,3474,iniciado,2026-09-15,
87,2805,iniciado,2026-09-15,
88,1106,iniciado,2026-09-15,
89,3459,iniciado,2026-09-15,
90,1638,iniciado,2026-09-15,
91,3884,iniciado,2026-09-15,
92,3922,iniciado,2026-09-15,
93,288,iniciado,2026-09-15,
94,1157,iniciado,2026-09-15,
95,161,completado,2026-09-15,Modulo finalizado por el estudiante
96,2011,iniciado,2026-09-15,
