id_inscripcion,id_estudiante,id_curso,id_cohorte,fecha_inscripcion,estado_curso,porcentaje_avance_curso
1,1,9,2,2026-08-09,en_curso,3.86
2,1,1,2,2026-07-20,en_curso,23.75
3,2,12,1,2026-05-21,en_curso,19
4,2,2,2,2026-07-28,abandonado,5.49
5,2,9,3,2026-08-18,abandonado,1.67
6,3,11,3,2026-09-05,en_curso,50
7,3,6,2,2026-08-16,en_curso,15.71
8,4,5,1,2026-06-30,en_curso,52.5
9,5,3,1,2026-05-16,en_curso,52.5
10,5,8,3,2026-08-28,en_curso,15.83
11,6,12,1,2026-06-04,en_curso,5.81
12,7,5,1,2026-04-24,en_curso,23.75
13,7,9,2,2026-08-07,en_curso,4.23
14,7,3,3,2026-09-01,en_curso,14.04
15,8,2,1,2026-05-09,en_curso,52.5
16,8,11,1,2026-05-25,en_curso,1.67
17,8,5,1,2026-04-21,en_curso,16.84
18,9,9,1,2026-07-12,abandonado,3.46
19,9,10,1,2026-06-17,abandonado,1.67
20,9,4,1,2026-07-08,en_curso,18.98
21,10,6,1,2026-05-17,abandonado,13.57
22,11,9,1,2026-07-07,abandonado,1.67
23,12,1,3,2026-08-30,en_curso,39.59
24,12,10,1,2026-05-27,abandonado,4.17
25,12,6,1,2026-07-06,abandonado,3.57
26,13,1,2,2026-07-24,en_curso,27.5
27,13,2,2,2026-08-14,abandonado,2.5
28,14,5,2,2026-07-18,en_curso,58.13
29,14,4,3,2026-09-07,abandonado,7.14
30,15,4,3,2026-09-06,en_curso,50
31,16,2,1,2026-04-30,abandonado,2.5
32,16,12,3,2026-09-02,abandonado,6.77
33,16,8,1,2026-05-14,en_curso,29.4
34,17,9,2,2026-07-27,abandonado,15.83
35,18,3,1,2026-05-28,en_curso,35.24
36,19,8,2,2026-08-04,abandonado,4.41
37,19,9,1,2026-06-20,en_curso,15.83
38,19,3,3,2026-08-24,en_curso,23.75
39,20,9,2,2026-07-19,en_curso,14.3
40,20,10,2,2026-07-29,en_curso,22.31
41,21,4,1,2026-06-30,en_curso,48.75
42,21,9,1,2026-06-17,en_curso,15.83
43,22,12,1,2026-05-21,en_curso,22
44,22,4,1,2026-07-16,en_curso,61.16
45,22,5,2,2026-07-30,en_curso,52.5
46,23,11,1,2026-06-23,en_curso,28.28
47,23,12,2,2026-08-02,en_curso,29.03
48,24,8,1,2026-06-25,en_curso,46.71
49,24,9,3,2026-08-27,en_curso,35
50,25,2,3,2026-09-04,en_curso,38.21
51,25,4,3,2026-08-28,en_curso,32.52
52,26,2,3,2026-08-20,en_curso,35.8
53,27,1,3,2026-08-30,abandonado,13.27
54,27,10,1,2026-06-08,en_curso,83.33
55,28,4,2,2026-08-14,en_curso,77.5
56,28,10,2,2026-07-21,abandonado,10.66
57,28,12,1,2026-05-25,en_curso,20
58,29,2,1,2026-06-04,abandonado,13.37
59,30,11,1,2026-06-11,en_curso,35
60,30,1,2,2026-08-04,en_curso,27.5
61,30,4,1,2026-06-14,en_curso,75
62,31,1,1,2026-05-31,en_curso,50
63,32,2,1,2026-06-14,abandonado,15.31
64,32,9,1,2026-06-13,en_curso,21.15
65,33,5,3,2026-09-01,en_curso,73.75
66,34,8,1,2026-05-28,abandonado,4.16
67,34,4,3,2026-08-30,en_curso,32.63
68,34,9,3,2026-09-01,abandonado,5.36
69,35,12,2,2026-07-21,en_curso,22
70,36,10,1,2026-06-18,abandonado,1.67
71,36,8,2,2026-07-20,en_curso,32.5
72,36,4,1,2026-06-24,en_curso,52.5
73,37,7,2,2026-08-04,abandonado,21.23
74,37,4,3,2026-09-05,en_curso,77.5
75,38,2,1,2026-06-10,abandonado,8.32
76,39,7,1,2026-06-12,abandonado,23.75
77,39,6,1,2026-05-11,abandonado,4.19
78,39,12,2,2026-08-07,abandonado,19
79,40,8,3,2026-08-27,en_curso,53.44
80,40,1,2,2026-08-01,en_curso,25
81,41,11,1,2026-06-30,abandonado,15.83
82,41,12,1,2026-07-03,en_curso,22
83,41,2,1,2026-06-24,abandonado,9.53
84,42,7,1,2026-05-16,en_curso,50
85,43,6,1,2026-06-13,en_curso,26.98
86,43,2,1,2026-04-26,en_curso,23.75
87,43,4,1,2026-06-12,abandonado,12.85
88,44,4,3,2026-09-03,abandonado,20.07
89,45,8,1,2026-05-03,en_curso,33.33
90,45,3,1,2026-06-24,en_curso,48.75
91,45,7,1,2026-07-12,abandonado,6.04
92,46,5,3,2026-08-23,en_curso,23.75
93,47,4,1,2026-06-06,en_curso,38.21
94,47,2,3,2026-09-10,abandonado,21.11
95,48,9,2,2026-07-20,abandonado,7.04
96,48,2,1,2026-05-29,en_curso,77.5
97,49,11,1,2026-05-27,en_curso,35
98,50,1,2,2026-07-31,en_curso,23.75
99,50,2,1,2026-06-09,en_curso,33.15
100,50,4,2,2026-08-05,en_curso,65.92
